East;North;Canton
2653500.0;1243500.0;Aargau
2653500.0;1244500.0;Aargau
2653500.0;1245500.0;Aargau
2653500.0;1246500.0;Aargau
2653500.0;1247500.0;Aargau
2653500.0;1248500.0;Aargau
2653500.0;1249500.0;Aargau
2653500.0;1250500.0;Aargau
2653500.0;1251500.0;Aargau
2653500.0;1252500.0;Aargau
2653500.0;1253500.0;Aargau
2653500.0;1254500.0;Aargau
2653500.0;1255500.0;Aargau
2653500.0;1256500.0;Aargau
2653500.0;1257500.0;Aargau
2653500.0;1258500.0;Aargau
2653500.0;1259500.0;Aargau
2653500.0;1260500.0;Aargau
2653500.0;1261500.0;Aargau
2653500.0;1262500.0;Aargau
2653500.0;1263500.0;Aargau
2653500.0;1264500.0;Aargau
2653500.0;1265500.0;Aargau
2653500.0;1266500.0;Aargau
2653500.0;1267500.0;Aargau
2653500.0;1268500.0;Aargau
2653500.0;1269500.0;Aargau
2653500.0;1270500.0;Aargau
2653500.0;1271500.0;Aargau
2654500.0;1110500.0;Valais
2654500.0;1111500.0;Valais
2654500.0;1112500.0;Valais
2654500.0;1113500.0;Valais
2654500.0;1114500.0;Valais
2654500.0;1115500.0;Valais
2654500.0;1116500.0;Valais
2654500.0;1117500.0;Valais
2654500.0;1128500.0;Valais
2654500.0;1129500.0;Valais
2654500.0;1130500.0;Valais
2654500.0;1131500.0;Valais
2654500.0;1132500.0;Valais
2654500.0;1133500.0;Valais
2654500.0;1134500.0;Valais
2654500.0;1135500.0;Valais
2654500.0;1136500.0;Valais
2654500.0;1137500.0;Valais
2654500.0;1138500.0;Valais
2654500.0;1139500.0;Valais
2654500.0;1140500.0;Valais
2654500.0;1141500.0;Valais
2654500.0;1142500.0;Valais
2654500.0;1143500.0;Valais
2654500.0;1144500.0;Valais
2654500.0;1145500.0;Valais
2654500.0;1146500.0;Valais
2654500.0;1147500.0;Valais
2654500.0;1148500.0;Valais
2654500.0;1149500.0;Valais
2654500.0;1150500.0;Valais
2654500.0;1151500.0;Valais
2654500.0;1152500.0;Valais
2654500.0;1153500.0;Valais
2654500.0;1154500.0;Bern
2654500.0;1155500.0;Bern
2654500.0;1156500.0;Bern
2654500.0;1157500.0;Bern
2654500.0;1158500.0;Bern
2654500.0;1159500.0;Bern
2654500.0;1160500.0;Bern
2654500.0;1161500.0;Bern
2654500.0;1162500.0;Bern
2654500.0;1163500.0;Bern
2654500.0;1164500.0;Bern
2654500.0;1165500.0;Bern
2654500.0;1166500.0;Bern
2654500.0;1167500.0;Bern
2654500.0;1168500.0;Bern
2654500.0;1169500.0;Bern
2654500.0;1170500.0;Bern
2654500.0;1171500.0;Bern
2654500.0;1172500.0;Bern
2654500.0;1173500.0;Bern
2654500.0;1174500.0;Bern
2654500.0;1175500.0;Bern
2654500.0;1176500.0;Bern
2654500.0;1177500.0;Bern
2654500.0;1178500.0;Bern
2654500.0;1179500.0;Obwalden
2654500.0;1180500.0;Obwalden
2654500.0;1181500.0;Obwalden
2654500.0;1182500.0;Obwalden
2654500.0;1183500.0;Obwalden
2654500.0;1184500.0;Obwalden
2654500.0;1185500.0;Obwalden
2654500.0;1186500.0;Obwalden
2654500.0;1187500.0;Obwalden
2654500.0;1188500.0;Obwalden
2654500.0;1189500.0;Obwalden
2654500.0;1190500.0;Obwalden
2654500.0;1191500.0;Obwalden
2654500.0;1192500.0;Obwalden
2654500.0;1193500.0;Obwalden
2654500.0;1194500.0;Obwalden
2654500.0;1195500.0;Obwalden
2654500.0;1196500.0;Obwalden
2654500.0;1197500.0;Obwalden
2654500.0;1198500.0;Luzern
2654500.0;1199500.0;Luzern
2654500.0;1200500.0;Obwalden
2654500.0;1201500.0;Luzern
2654500.0;1202500.0;Luzern
2654500.0;1203500.0;Luzern
2654500.0;1204500.0;Luzern
2654500.0;1205500.0;Luzern
2654500.0;1206500.0;Luzern
2654500.0;1207500.0;Luzern
2654500.0;1208500.0;Luzern
2654500.0;1209500.0;Luzern
2654500.0;1210500.0;Luzern
2654500.0;1211500.0;Luzern
2654500.0;1212500.0;Luzern
2654500.0;1213500.0;Luzern
2654500.0;1214500.0;Luzern
2654500.0;1215500.0;Luzern
2654500.0;1216500.0;Luzern
2654500.0;1217500.0;Luzern
2654500.0;1218500.0;Luzern
2654500.0;1219500.0;Luzern
2654500.0;1220500.0;Luzern
2654500.0;1221500.0;Luzern
2654500.0;1222500.0;Luzern
2654500.0;1223500.0;Luzern
2654500.0;1224500.0;Luzern
2654500.0;1225500.0;Luzern
2654500.0;1226500.0;Luzern
2654500.0;1227500.0;Luzern
2654500.0;1228500.0;Luzern
2654500.0;1229500.0;Luzern
2654500.0;1230500.0;Luzern
2654500.0;1231500.0;Luzern
2654500.0;1232500.0;Luzern
2654500.0;1233500.0;Aargau
2654500.0;1234500.0;Aargau
2654500.0;1235500.0;Aargau
2654500.0;1236500.0;Aargau
2654500.0;1237500.0;Aargau
2654500.0;1238500.0;Aargau
2654500.0;1239500.0;Aargau
2654500.0;1240500.0;Aargau
2654500.0;1241500.0;Aargau
2654500.0;1242500.0;Aargau
2654500.0;1243500.0;Aargau
2654500.0;1244500.0;Aargau
2654500.0;1245500.0;Aargau
2654500.0;1246500.0;Aargau
2654500.0;1247500.0;Aargau
2654500.0;1248500.0;Aargau
2654500.0;1249500.0;Aargau
2654500.0;1250500.0;Aargau
2654500.0;1251500.0;Aargau
2654500.0;1252500.0;Aargau
2654500.0;1253500.0;Aargau
2654500.0;1254500.0;Aargau
2654500.0;1255500.0;Aargau
2654500.0;1256500.0;Aargau
2654500.0;1257500.0;Aargau
2654500.0;1258500.0;Aargau
2654500.0;1259500.0;Aargau
2654500.0;1260500.0;Aargau
2654500.0;1261500.0;Aargau
2654500.0;1262500.0;Aargau
2654500.0;1263500.0;Aargau
2654500.0;1264500.0;Aargau
2654500.0;1265500.0;Aargau
2654500.0;1266500.0;Aargau
2654500.0;1267500.0;Aargau
2654500.0;1268500.0;Aargau
2654500.0;1269500.0;Aargau
2654500.0;1270500.0;Aargau
2654500.0;1271500.0;Aargau
2655500.0;1114500.0;Valais
2655500.0;1115500.0;Valais
2655500.0;1127500.0;Valais
2655500.0;1128500.0;Valais
2655500.0;1129500.0;Valais
2655500.0;1130500.0;Valais
2655500.0;1131500.0;Valais
2655500.0;1132500.0;Valais
2655500.0;1133500.0;Valais
2655500.0;1134500.0;Valais
2655500.0;1135500.0;Valais
2655500.0;1136500.0;Valais
2655500.0;1137500.0;Valais
2655500.0;1138500.0;Valais
2655500.0;1139500.0;Valais
2655500.0;1140500.0;Valais
2655500.0;1141500.0;Valais
2655500.0;1142500.0;Valais
2655500.0;1143500.0;Valais
2655500.0;1144500.0;Valais
2655500.0;1145500.0;Valais
2655500.0;1146500.0;Valais
2655500.0;1147500.0;Valais
2655500.0;1148500.0;Valais
2655500.0;1149500.0;Valais
2655500.0;1150500.0;Valais
2655500.0;1151500.0;Valais
2655500.0;1152500.0;Valais
2655500.0;1153500.0;Valais
2655500.0;1154500.0;Bern
2655500.0;1155500.0;Bern
2655500.0;1156500.0;Bern
2655500.0;1157500.0;Bern
2655500.0;1158500.0;Bern
2655500.0;1159500.0;Bern
2655500.0;1160500.0;Bern
2655500.0;1161500.0;Bern
2655500.0;1162500.0;Bern
2655500.0;1163500.0;Bern
2655500.0;1164500.0;Bern
2655500.0;1165500.0;Bern
2655500.0;1166500.0;Bern
2655500.0;1167500.0;Bern
2655500.0;1168500.0;Bern
2655500.0;1169500.0;Bern
2655500.0;1170500.0;Bern
2655500.0;1171500.0;Bern
2655500.0;1172500.0;Bern
2655500.0;1173500.0;Bern
2655500.0;1174500.0;Bern
2655500.0;1175500.0;Bern
2655500.0;1176500.0;Bern
2655500.0;1177500.0;Bern
2655500.0;1178500.0;Bern
2655500.0;1179500.0;Obwalden
2655500.0;1180500.0;Obwalden
2655500.0;1181500.0;Obwalden
2655500.0;1182500.0;Obwalden
2655500.0;1183500.0;Obwalden
2655500.0;1184500.0;Obwalden
2655500.0;1185500.0;Obwalden
2655500.0;1186500.0;Obwalden
2655500.0;1187500.0;Obwalden
2655500.0;1188500.0;Obwalden
2655500.0;1189500.0;Obwalden
2655500.0;1190500.0;Obwalden
2655500.0;1191500.0;Obwalden
2655500.0;1192500.0;Obwalden
2655500.0;1193500.0;Obwalden
2655500.0;1194500.0;Obwalden
2655500.0;1195500.0;Obwalden
2655500.0;1196500.0;Obwalden
2655500.0;1197500.0;Obwalden
2655500.0;1198500.0;Obwalden
2655500.0;1199500.0;Obwalden
2655500.0;1200500.0;Obwalden
2655500.0;1201500.0;Obwalden
2655500.0;1202500.0;Luzern
2655500.0;1203500.0;Luzern
2655500.0;1204500.0;Luzern
2655500.0;1205500.0;Luzern
2655500.0;1206500.0;Luzern
2655500.0;1207500.0;Luzern
2655500.0;1208500.0;Luzern
2655500.0;1209500.0;Luzern
2655500.0;1210500.0;Luzern
2655500.0;1211500.0;Luzern
2655500.0;1212500.0;Luzern
2655500.0;1213500.0;Luzern
2655500.0;1214500.0;Luzern
2655500.0;1215500.0;Luzern
2655500.0;1216500.0;Luzern
2655500.0;1217500.0;Luzern
2655500.0;1218500.0;Luzern
2655500.0;1219500.0;Luzern
2655500.0;1220500.0;Luzern
2655500.0;1221500.0;Luzern
2655500.0;1222500.0;Luzern
2655500.0;1223500.0;Luzern
2655500.0;1224500.0;Luzern
2655500.0;1225500.0;Luzern
2655500.0;1226500.0;Luzern
2655500.0;1227500.0;Luzern
2655500.0;1228500.0;Luzern
2655500.0;1229500.0;Luzern
2655500.0;1230500.0;Luzern
2655500.0;1231500.0;Aargau
2655500.0;1232500.0;Luzern
2655500.0;1233500.0;Luzern
2655500.0;1234500.0;Aargau
2655500.0;1235500.0;Aargau
2655500.0;1236500.0;Aargau
2655500.0;1237500.0;Aargau
2655500.0;1238500.0;Aargau
2655500.0;1239500.0;Aargau
2655500.0;1240500.0;Aargau
2655500.0;1241500.0;Aargau
2655500.0;1242500.0;Aargau
2655500.0;1243500.0;Aargau
2655500.0;1244500.0;Aargau
2655500.0;1245500.0;Aargau
2655500.0;1246500.0;Aargau
2655500.0;1247500.0;Aargau
2655500.0;1248500.0;Aargau
2655500.0;1249500.0;Aargau
2655500.0;1250500.0;Aargau
2655500.0;1251500.0;Aargau
2655500.0;1252500.0;Aargau
2655500.0;1253500.0;Aargau
2655500.0;1254500.0;Aargau
2655500.0;1255500.0;Aargau
2655500.0;1256500.0;Aargau
2655500.0;1257500.0;Aargau
2655500.0;1258500.0;Aargau
2655500.0;1259500.0;Aargau
2655500.0;1260500.0;Aargau
2655500.0;1261500.0;Aargau
2655500.0;1262500.0;Aargau
2655500.0;1263500.0;Aargau
2655500.0;1264500.0;Aargau
2655500.0;1265500.0;Aargau
2655500.0;1266500.0;Aargau
2655500.0;1267500.0;Aargau
2655500.0;1268500.0;Aargau
2655500.0;1269500.0;Aargau
2655500.0;1270500.0;Aargau
2655500.0;1271500.0;Aargau
2655500.0;1272500.0;Aargau
2656500.0;1128500.0;Valais
2656500.0;1129500.0;Valais
2656500.0;1130500.0;Valais
2656500.0;1131500.0;Valais
2656500.0;1132500.0;Valais
2656500.0;1133500.0;Valais
2656500.0;1134500.0;Valais
2656500.0;1135500.0;Valais
2656500.0;1136500.0;Valais
2656500.0;1137500.0;Valais
2656500.0;1138500.0;Valais
2656500.0;1139500.0;Valais
2656500.0;1140500.0;Valais
2656500.0;1141500.0;Valais
2656500.0;1142500.0;Valais
2656500.0;1143500.0;Valais
2656500.0;1144500.0;Valais
2656500.0;1145500.0;Valais
2656500.0;1146500.0;Valais
2656500.0;1147500.0;Valais
2656500.0;1148500.0;Valais
2656500.0;1149500.0;Valais
2656500.0;1150500.0;Valais
2656500.0;1151500.0;Valais
2656500.0;1152500.0;Valais
2656500.0;1153500.0;Bern
2656500.0;1154500.0;Bern
2656500.0;1155500.0;Bern
2656500.0;1156500.0;Bern
2656500.0;1157500.0;Bern
2656500.0;1158500.0;Bern
2656500.0;1159500.0;Bern
2656500.0;1160500.0;Bern
2656500.0;1161500.0;Bern
2656500.0;1162500.0;Bern
2656500.0;1163500.0;Bern
2656500.0;1164500.0;Bern
2656500.0;1165500.0;Bern
2656500.0;1166500.0;Bern
2656500.0;1167500.0;Bern
2656500.0;1168500.0;Bern
2656500.0;1169500.0;Bern
2656500.0;1170500.0;Bern
2656500.0;1171500.0;Bern
2656500.0;1172500.0;Bern
2656500.0;1173500.0;Bern
2656500.0;1174500.0;Bern
2656500.0;1175500.0;Bern
2656500.0;1176500.0;Bern
2656500.0;1177500.0;Bern
2656500.0;1178500.0;Bern
2656500.0;1179500.0;Bern
2656500.0;1180500.0;Obwalden
2656500.0;1181500.0;Obwalden
2656500.0;1182500.0;Obwalden
2656500.0;1183500.0;Obwalden
2656500.0;1184500.0;Obwalden
2656500.0;1185500.0;Obwalden
2656500.0;1186500.0;Obwalden
2656500.0;1187500.0;Obwalden
2656500.0;1188500.0;Obwalden
2656500.0;1189500.0;Obwalden
2656500.0;1190500.0;Obwalden
2656500.0;1191500.0;Obwalden
2656500.0;1192500.0;Obwalden
2656500.0;1193500.0;Obwalden
2656500.0;1194500.0;Obwalden
2656500.0;1195500.0;Obwalden
2656500.0;1196500.0;Obwalden
2656500.0;1197500.0;Obwalden
2656500.0;1198500.0;Obwalden
2656500.0;1199500.0;Obwalden
2656500.0;1200500.0;Obwalden
2656500.0;1201500.0;Obwalden
2656500.0;1202500.0;Luzern
2656500.0;1203500.0;Luzern
2656500.0;1204500.0;Luzern
2656500.0;1205500.0;Luzern
2656500.0;1206500.0;Luzern
2656500.0;1207500.0;Luzern
2656500.0;1208500.0;Luzern
2656500.0;1209500.0;Luzern
2656500.0;1210500.0;Luzern
2656500.0;1211500.0;Luzern
2656500.0;1212500.0;Luzern
2656500.0;1213500.0;Luzern
2656500.0;1214500.0;Luzern
2656500.0;1215500.0;Luzern
2656500.0;1216500.0;Luzern
2656500.0;1217500.0;Luzern
2656500.0;1218500.0;Luzern
2656500.0;1219500.0;Luzern
2656500.0;1220500.0;Luzern
2656500.0;1221500.0;Luzern
2656500.0;1222500.0;Luzern
2656500.0;1223500.0;Luzern
2656500.0;1224500.0;Luzern
2656500.0;1225500.0;Luzern
2656500.0;1226500.0;Luzern
2656500.0;1227500.0;Luzern
2656500.0;1228500.0;Luzern
2656500.0;1229500.0;Luzern
2656500.0;1230500.0;Aargau
2656500.0;1231500.0;Aargau
2656500.0;1232500.0;Aargau
2656500.0;1233500.0;Aargau
2656500.0;1234500.0;Aargau
2656500.0;1235500.0;Aargau
2656500.0;1236500.0;Aargau
2656500.0;1237500.0;Aargau
2656500.0;1238500.0;Aargau
2656500.0;1239500.0;Aargau
2656500.0;1240500.0;Aargau
2656500.0;1241500.0;Aargau
2656500.0;1242500.0;Aargau
2656500.0;1243500.0;Aargau
2656500.0;1244500.0;Aargau
2656500.0;1245500.0;Aargau
2656500.0;1246500.0;Aargau
2656500.0;1247500.0;Aargau
2656500.0;1248500.0;Aargau
2656500.0;1249500.0;Aargau
2656500.0;1250500.0;Aargau
2656500.0;1251500.0;Aargau
2656500.0;1252500.0;Aargau
2656500.0;1253500.0;Aargau
2656500.0;1254500.0;Aargau
2656500.0;1255500.0;Aargau
2656500.0;1256500.0;Aargau
2656500.0;1257500.0;Aargau
2656500.0;1258500.0;Aargau
2656500.0;1259500.0;Aargau
2656500.0;1260500.0;Aargau
2656500.0;1261500.0;Aargau
2656500.0;1262500.0;Aargau
2656500.0;1263500.0;Aargau
2656500.0;1264500.0;Aargau
2656500.0;1265500.0;Aargau
2656500.0;1266500.0;Aargau
2656500.0;1267500.0;Aargau
2656500.0;1268500.0;Aargau
2656500.0;1269500.0;Aargau
2656500.0;1270500.0;Aargau
2656500.0;1271500.0;Aargau
2656500.0;1272500.0;Aargau
2656500.0;1273500.0;Aargau
2657500.0;1128500.0;Valais
2657500.0;1129500.0;Valais
2657500.0;1130500.0;Valais
2657500.0;1131500.0;Valais
2657500.0;1132500.0;Valais
2657500.0;1133500.0;Valais
2657500.0;1134500.0;Valais
2657500.0;1135500.0;Valais
2657500.0;1136500.0;Valais
2657500.0;1137500.0;Valais
2657500.0;1138500.0;Valais
2657500.0;1139500.0;Valais
2657500.0;1140500.0;Valais
2657500.0;1141500.0;Valais
2657500.0;1142500.0;Valais
2657500.0;1143500.0;Valais
2657500.0;1144500.0;Valais
2657500.0;1145500.0;Valais
2657500.0;1146500.0;Valais
2657500.0;1147500.0;Valais
2657500.0;1148500.0;Valais
2657500.0;1149500.0;Valais
2657500.0;1150500.0;Valais
2657500.0;1151500.0;Valais
2657500.0;1152500.0;Valais
2657500.0;1153500.0;Bern
2657500.0;1154500.0;Bern
2657500.0;1155500.0;Bern
2657500.0;1156500.0;Bern
2657500.0;1157500.0;Bern
2657500.0;1158500.0;Bern
2657500.0;1159500.0;Bern
2657500.0;1160500.0;Bern
2657500.0;1161500.0;Bern
2657500.0;1162500.0;Bern
2657500.0;1163500.0;Bern
2657500.0;1164500.0;Bern
2657500.0;1165500.0;Bern
2657500.0;1166500.0;Bern
2657500.0;1167500.0;Bern
2657500.0;1168500.0;Bern
2657500.0;1169500.0;Bern
2657500.0;1170500.0;Bern
2657500.0;1171500.0;Bern
2657500.0;1172500.0;Bern
2657500.0;1173500.0;Bern
2657500.0;1174500.0;Bern
2657500.0;1175500.0;Bern
2657500.0;1176500.0;Bern
2657500.0;1177500.0;Bern
2657500.0;1178500.0;Bern
2657500.0;1179500.0;Bern
2657500.0;1180500.0;Obwalden
2657500.0;1181500.0;Obwalden
2657500.0;1182500.0;Obwalden
2657500.0;1183500.0;Obwalden
2657500.0;1184500.0;Obwalden
2657500.0;1185500.0;Obwalden
2657500.0;1186500.0;Obwalden
2657500.0;1187500.0;Obwalden
2657500.0;1188500.0;Obwalden
2657500.0;1189500.0;Obwalden
2657500.0;1190500.0;Obwalden
2657500.0;1191500.0;Obwalden
2657500.0;1192500.0;Obwalden
2657500.0;1193500.0;Obwalden
2657500.0;1194500.0;Obwalden
2657500.0;1195500.0;Obwalden
2657500.0;1196500.0;Obwalden
2657500.0;1197500.0;Obwalden
2657500.0;1198500.0;Obwalden
2657500.0;1199500.0;Obwalden
2657500.0;1200500.0;Obwalden
2657500.0;1201500.0;Obwalden
2657500.0;1202500.0;Luzern
2657500.0;1203500.0;Luzern
2657500.0;1204500.0;Luzern
2657500.0;1205500.0;Luzern
2657500.0;1206500.0;Luzern
2657500.0;1207500.0;Luzern
2657500.0;1208500.0;Luzern
2657500.0;1209500.0;Luzern
2657500.0;1210500.0;Luzern
2657500.0;1211500.0;Luzern
2657500.0;1212500.0;Luzern
2657500.0;1213500.0;Luzern
2657500.0;1214500.0;Luzern
2657500.0;1215500.0;Luzern
2657500.0;1216500.0;Luzern
2657500.0;1217500.0;Luzern
2657500.0;1218500.0;Luzern
2657500.0;1219500.0;Luzern
2657500.0;1220500.0;Luzern
2657500.0;1221500.0;Luzern
2657500.0;1222500.0;Luzern
2657500.0;1223500.0;Luzern
2657500.0;1224500.0;Luzern
2657500.0;1225500.0;Luzern
2657500.0;1226500.0;Luzern
2657500.0;1227500.0;Luzern
2657500.0;1228500.0;Luzern
2657500.0;1229500.0;Luzern
2657500.0;1230500.0;Luzern
2657500.0;1231500.0;Aargau
2657500.0;1232500.0;Aargau
2657500.0;1233500.0;Aargau
2657500.0;1234500.0;Aargau
2657500.0;1235500.0;Aargau
2657500.0;1236500.0;Aargau
2657500.0;1237500.0;Aargau
2657500.0;1238500.0;Aargau
2657500.0;1239500.0;Aargau
2657500.0;1240500.0;Aargau
2657500.0;1241500.0;Aargau
2657500.0;1242500.0;Aargau
2657500.0;1243500.0;Aargau
2657500.0;1244500.0;Aargau
2657500.0;1245500.0;Aargau
2657500.0;1246500.0;Aargau
2657500.0;1247500.0;Aargau
2657500.0;1248500.0;Aargau
2657500.0;1249500.0;Aargau
2657500.0;1250500.0;Aargau
2657500.0;1251500.0;Aargau
2657500.0;1252500.0;Aargau
2657500.0;1253500.0;Aargau
2657500.0;1254500.0;Aargau
2657500.0;1255500.0;Aargau
2657500.0;1256500.0;Aargau
2657500.0;1257500.0;Aargau
2657500.0;1258500.0;Aargau
2657500.0;1259500.0;Aargau
2657500.0;1260500.0;Aargau
2657500.0;1261500.0;Aargau
2657500.0;1262500.0;Aargau
2657500.0;1263500.0;Aargau
2657500.0;1264500.0;Aargau
2657500.0;1265500.0;Aargau
2657500.0;1266500.0;Aargau
2657500.0;1267500.0;Aargau
2657500.0;1268500.0;Aargau
2657500.0;1269500.0;Aargau
2657500.0;1270500.0;Aargau
2657500.0;1271500.0;Aargau
2657500.0;1272500.0;Aargau
2657500.0;1273500.0;Aargau
2657500.0;1274500.0;Aargau
2658500.0;1128500.0;Valais
2658500.0;1129500.0;Valais
2658500.0;1130500.0;Valais
2658500.0;1131500.0;Valais
2658500.0;1132500.0;Valais
2658500.0;1133500.0;Valais
2658500.0;1134500.0;Valais
2658500.0;1135500.0;Valais
2658500.0;1136500.0;Valais
2658500.0;1137500.0;Valais
2658500.0;1138500.0;Valais
2658500.0;1139500.0;Valais
2658500.0;1140500.0;Valais
2658500.0;1141500.0;Valais
2658500.0;1142500.0;Valais
2658500.0;1143500.0;Valais
2658500.0;1144500.0;Valais
2658500.0;1145500.0;Valais
2658500.0;1146500.0;Valais
2658500.0;1147500.0;Valais
2658500.0;1148500.0;Valais
2658500.0;1149500.0;Valais
2658500.0;1150500.0;Valais
2658500.0;1151500.0;Valais
2658500.0;1152500.0;Valais
2658500.0;1153500.0;Bern
2658500.0;1154500.0;Bern
2658500.0;1155500.0;Bern
2658500.0;1156500.0;Bern
2658500.0;1157500.0;Bern
2658500.0;1158500.0;Bern
2658500.0;1159500.0;Bern
2658500.0;1160500.0;Bern
2658500.0;1161500.0;Bern
2658500.0;1162500.0;Bern
2658500.0;1163500.0;Bern
2658500.0;1164500.0;Bern
2658500.0;1165500.0;Bern
2658500.0;1166500.0;Bern
2658500.0;1167500.0;Bern
2658500.0;1168500.0;Bern
2658500.0;1169500.0;Bern
2658500.0;1170500.0;Bern
2658500.0;1171500.0;Bern
2658500.0;1172500.0;Bern
2658500.0;1173500.0;Bern
2658500.0;1174500.0;Bern
2658500.0;1175500.0;Bern
2658500.0;1176500.0;Bern
2658500.0;1177500.0;Bern
2658500.0;1178500.0;Bern
2658500.0;1179500.0;Bern
2658500.0;1180500.0;Obwalden
2658500.0;1181500.0;Obwalden
2658500.0;1182500.0;Obwalden
2658500.0;1183500.0;Obwalden
2658500.0;1184500.0;Obwalden
2658500.0;1185500.0;Obwalden
2658500.0;1186500.0;Obwalden
2658500.0;1187500.0;Obwalden
2658500.0;1188500.0;Obwalden
2658500.0;1189500.0;Obwalden
2658500.0;1190500.0;Obwalden
2658500.0;1191500.0;Obwalden
2658500.0;1192500.0;Obwalden
2658500.0;1193500.0;Obwalden
2658500.0;1194500.0;Obwalden
2658500.0;1195500.0;Obwalden
2658500.0;1196500.0;Obwalden
2658500.0;1197500.0;Obwalden
2658500.0;1198500.0;Obwalden
2658500.0;1199500.0;Obwalden
2658500.0;1200500.0;Obwalden
2658500.0;1201500.0;Obwalden
2658500.0;1202500.0;Luzern
2658500.0;1203500.0;Luzern
2658500.0;1204500.0;Luzern
2658500.0;1205500.0;Luzern
2658500.0;1206500.0;Luzern
2658500.0;1207500.0;Luzern
2658500.0;1208500.0;Luzern
2658500.0;1209500.0;Luzern
2658500.0;1210500.0;Luzern
2658500.0;1211500.0;Luzern
2658500.0;1212500.0;Luzern
2658500.0;1213500.0;Luzern
2658500.0;1214500.0;Luzern
2658500.0;1215500.0;Luzern
2658500.0;1216500.0;Luzern
2658500.0;1217500.0;Luzern
2658500.0;1218500.0;Luzern
2658500.0;1219500.0;Luzern
2658500.0;1220500.0;Luzern
2658500.0;1221500.0;Luzern
2658500.0;1222500.0;Luzern
2658500.0;1223500.0;Luzern
2658500.0;1224500.0;Luzern
2658500.0;1225500.0;Luzern
2658500.0;1226500.0;Luzern
2658500.0;1227500.0;Luzern
2658500.0;1228500.0;Luzern
2658500.0;1229500.0;Luzern
2658500.0;1230500.0;Luzern
2658500.0;1231500.0;Luzern
2658500.0;1232500.0;Luzern
2658500.0;1233500.0;Aargau
2658500.0;1234500.0;Aargau
2658500.0;1235500.0;Aargau
2658500.0;1236500.0;Aargau
2658500.0;1237500.0;Aargau
2658500.0;1238500.0;Aargau
2658500.0;1239500.0;Aargau
2658500.0;1240500.0;Aargau
2658500.0;1241500.0;Aargau
2658500.0;1242500.0;Aargau
2658500.0;1243500.0;Aargau
2658500.0;1244500.0;Aargau
2658500.0;1245500.0;Aargau
2658500.0;1246500.0;Aargau
2658500.0;1247500.0;Aargau
2658500.0;1248500.0;Aargau
2658500.0;1249500.0;Aargau
2658500.0;1250500.0;Aargau
2658500.0;1251500.0;Aargau
2658500.0;1252500.0;Aargau
2658500.0;1253500.0;Aargau
2658500.0;1254500.0;Aargau
2658500.0;1255500.0;Aargau
2658500.0;1256500.0;Aargau
2658500.0;1257500.0;Aargau
2658500.0;1258500.0;Aargau
2658500.0;1259500.0;Aargau
2658500.0;1260500.0;Aargau
2658500.0;1261500.0;Aargau
2658500.0;1262500.0;Aargau
2658500.0;1263500.0;Aargau
2658500.0;1264500.0;Aargau
2658500.0;1265500.0;Aargau
2658500.0;1266500.0;Aargau
2658500.0;1267500.0;Aargau
2658500.0;1268500.0;Aargau
2658500.0;1269500.0;Aargau
2658500.0;1270500.0;Aargau
2658500.0;1271500.0;Aargau
2658500.0;1272500.0;Aargau
2658500.0;1273500.0;Aargau
2658500.0;1274500.0;Aargau
2659500.0;1129500.0;Valais
2659500.0;1130500.0;Valais
2659500.0;1131500.0;Valais
2659500.0;1132500.0;Valais
2659500.0;1133500.0;Valais
2659500.0;1134500.0;Valais
2659500.0;1135500.0;Valais
2659500.0;1136500.0;Valais
2659500.0;1137500.0;Valais
2659500.0;1138500.0;Valais
2659500.0;1139500.0;Valais
2659500.0;1140500.0;Valais
2659500.0;1141500.0;Valais
2659500.0;1142500.0;Valais
2659500.0;1143500.0;Valais
2659500.0;1144500.0;Valais
2659500.0;1145500.0;Valais
2659500.0;1146500.0;Valais
2659500.0;1147500.0;Valais
2659500.0;1148500.0;Valais
2659500.0;1149500.0;Valais
2659500.0;1150500.0;Valais
2659500.0;1151500.0;Valais
2659500.0;1152500.0;Valais
2659500.0;1153500.0;Bern
2659500.0;1154500.0;Bern
2659500.0;1155500.0;Bern
2659500.0;1156500.0;Bern
2659500.0;1157500.0;Bern
2659500.0;1158500.0;Bern
2659500.0;1159500.0;Bern
2659500.0;1160500.0;Bern
2659500.0;1161500.0;Bern
2659500.0;1162500.0;Bern
2659500.0;1163500.0;Bern
2659500.0;1164500.0;Bern
2659500.0;1165500.0;Bern
2659500.0;1166500.0;Bern
2659500.0;1167500.0;Bern
2659500.0;1168500.0;Bern
2659500.0;1169500.0;Bern
2659500.0;1170500.0;Bern
2659500.0;1171500.0;Bern
2659500.0;1172500.0;Bern
2659500.0;1173500.0;Bern
2659500.0;1174500.0;Bern
2659500.0;1175500.0;Bern
2659500.0;1176500.0;Bern
2659500.0;1177500.0;Bern
2659500.0;1178500.0;Bern
2659500.0;1179500.0;Bern
2659500.0;1180500.0;Obwalden
2659500.0;1181500.0;Obwalden
2659500.0;1182500.0;Obwalden
2659500.0;1183500.0;Obwalden
2659500.0;1184500.0;Obwalden
2659500.0;1185500.0;Obwalden
2659500.0;1186500.0;Obwalden
2659500.0;1187500.0;Obwalden
2659500.0;1188500.0;Obwalden
2659500.0;1189500.0;Obwalden
2659500.0;1190500.0;Obwalden
2659500.0;1191500.0;Obwalden
2659500.0;1192500.0;Obwalden
2659500.0;1193500.0;Obwalden
